city,country,latitude,longitude,temp,humidity,clouds,wind_speed,date
cidreira,br,-30.17,-50.22,74,89,100,11.23,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
portland,au,-33.35,149.98,91,25,0,4.02,"Dec 26, 2019"
yeppoon,au,-23.13,150.74,84,48,90,5.7,"Dec 26, 2019"
batticaloa,lk,7.71,81.69,77,76,10,1.85,"Dec 26, 2019"
ostrovnoy,ru,68.05,39.51,27,85,100,5.41,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
klaksvik,fo,62.23,-6.59,45,81,100,12.9,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
plugari,ro,47.49,27.13,39,77,75,5.1,"Dec 26, 2019"
lemoore,us,36.3,-119.78,48,81,3,2.59,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
bowen,au,-20.01,148.25,81,88,75,7.2,"Dec 26, 2019"
vila velha,br,-3.71,-38.6,86,69,20,5.1,"Dec 26, 2019"
vicam,mx,27.64,-110.3,57,76,5,2.1,"Dec 26, 2019"
arraial do cabo,br,-22.97,-42.02,76,90,0,8.05,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
grand-santi,gf,4.27,-54.38,73,99,100,0.67,"Dec 26, 2019"
santa catarina de tepehuanes,mx,25.34,-105.72,46,70,0,2.38,"Dec 26, 2019"
cape town,za,-33.93,18.42,59,93,40,3.1,"Dec 26, 2019"
atuona,pf,-9.8,-139.03,81,77,71,8.23,"Dec 26, 2019"
hermanus,za,-34.42,19.24,54,89,42,8.86,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
northam,au,-31.65,116.67,81,36,89,4.1,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
grand gaube,mu,-20.01,57.66,79,88,75,8.2,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
biloela,au,-24.4,150.51,89,32,4,5.4,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
sitka,us,37.17,-99.65,28,87,0,3.23,"Dec 26, 2019"
hermanus,za,-34.42,19.24,54,89,42,8.86,"Dec 26, 2019"
makhachkala,ru,42.98,47.5,39,86,90,3.0,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
luderitz,na,-26.65,15.16,66,59,84,10.3,"Dec 26, 2019"
hermanus,za,-34.42,19.24,54,89,42,8.86,"Dec 26, 2019"
puerto ayora,ec,-0.74,-90.35,74,89,100,2.68,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
narsaq,gl,60.91,-46.05,39,27,100,7.2,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
barkot,in,30.81,78.21,35,18,0,2.42,"Dec 26, 2019"
mogadishu,so,2.04,45.34,80,79,24,7.94,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
port blair,in,11.67,92.75,79,68,0,2.63,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
kuching,my,1.56,110.34,86,74,75,2.6,"Dec 26, 2019"
isangel,vu,-19.55,169.27,81,88,75,7.7,"Dec 26, 2019"
uvinza,tz,-5.1,30.39,64,97,100,0.39,"Dec 26, 2019"
chumikan,ru,54.72,135.31,-10,81,0,1.16,"Dec 26, 2019"
albany,au,-35.02,117.88,77,53,40,5.1,"Dec 26, 2019"
kavieng,pg,-2.57,150.8,81,80,98,2.95,"Dec 26, 2019"
saint-pierre,pm,46.77,-56.17,35,75,94,12.09,"Dec 26, 2019"
atuona,pf,-9.8,-139.03,81,77,71,8.23,"Dec 26, 2019"
vung tau,vn,10.35,107.08,83,60,32,1.18,"Dec 26, 2019"
meulaboh,id,4.14,96.13,81,76,61,1.95,"Dec 26, 2019"
dikson,ru,73.51,80.55,-8,97,100,7.4,"Dec 26, 2019"
cape town,za,-33.93,18.42,59,93,40,3.1,"Dec 26, 2019"
jinka,et,5.79,36.57,66,75,21,2.1,"Dec 26, 2019"
upernavik,gl,72.79,-56.15,3,72,2,3.87,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
flin flon,ca,54.77,-101.88,14,96,95,2.29,"Dec 26, 2019"
ilulissat,gl,69.22,-51.1,9,35,0,1.5,"Dec 26, 2019"
wladyslawowo,pl,54.79,18.4,38,100,90,4.6,"Dec 26, 2019"
shaunavon,ca,49.65,-108.41,15,80,0,5.71,"Dec 26, 2019"
klaksvik,fo,62.23,-6.59,45,81,100,12.9,"Dec 26, 2019"
wagar,sd,16.15,36.2,62,91,11,3.88,"Dec 26, 2019"
atuona,pf,-9.8,-139.03,81,77,71,8.23,"Dec 26, 2019"
noumea,nc,-22.28,166.46,88,48,40,10.8,"Dec 26, 2019"
victoria,us,28.81,-97.0,65,100,90,4.1,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
albanel,ca,48.88,-72.44,2,77,40,1.0,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
lagoa,pt,37.14,-8.45,63,55,98,3.6,"Dec 26, 2019"
russell,nz,-35.26,174.12,79,62,68,4.92,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
taoudenni,ml,22.68,-3.98,62,17,0,3.38,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
port augusta,au,-32.49,137.76,105,30,34,3.6,"Dec 26, 2019"
kushiro,jp,43.11,144.15,27,73,75,4.6,"Dec 26, 2019"
antsohihy,mg,-14.88,47.99,74,95,86,1.91,"Dec 26, 2019"
constantine,dz,36.36,6.61,39,80,7,2.1,"Dec 26, 2019"
bonthe,sl,7.53,-12.5,80,78,0,1.98,"Dec 26, 2019"
salinopolis,br,-0.61,-47.36,83,79,7,7.51,"Dec 26, 2019"
sumbe,ao,-11.2,13.84,75,88,100,1.37,"Dec 26, 2019"
yatou,cn,33.81,104.32,27,41,22,0.51,"Dec 26, 2019"
verkhnetulomskiy,ru,68.61,31.8,18,92,75,0.88,"Dec 26, 2019"
gamba,ga,-2.72,10.02,77,93,95,0.64,"Dec 26, 2019"
abu dhabi,ae,24.47,54.37,63,88,1,1.0,"Dec 26, 2019"
hermanus,za,-34.42,19.24,54,89,42,8.86,"Dec 26, 2019"
ayagoz,kz,47.96,80.43,14,70,64,0.95,"Dec 26, 2019"
puerto ayora,ec,-0.74,-90.35,74,89,100,2.68,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
puerto ayora,ec,-0.74,-90.35,74,89,100,2.68,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
cabo san lucas,mx,22.89,-109.91,68,72,20,5.1,"Dec 26, 2019"
keningau,my,5.33,116.16,84,79,75,1.0,"Dec 26, 2019"
clyde river,ca,70.47,-68.59,-2,84,20,4.1,"Dec 26, 2019"
jaroslaw,pl,50.02,22.68,38,93,75,5.1,"Dec 26, 2019"
san patricio,mx,19.22,-104.7,83,74,40,1.17,"Dec 26, 2019"
atuona,pf,-9.8,-139.03,81,77,71,8.23,"Dec 26, 2019"
bambous virieux,mu,-20.34,57.76,79,88,75,8.2,"Dec 26, 2019"
port blair,in,11.67,92.75,79,68,0,2.63,"Dec 26, 2019"
lensk,ru,60.71,114.91,-16,97,100,1.59,"Dec 26, 2019"
aklavik,ca,68.22,-135.01,-20,75,90,4.1,"Dec 26, 2019"
darhan,mn,49.49,105.92,0,84,67,0.49,"Dec 26, 2019"
sao joao da barra,br,-21.64,-41.05,76,87,0,8.09,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
bethel,us,60.79,-161.76,-11,82,1,2.6,"Dec 26, 2019"
kodiak,us,39.95,-94.76,36,80,90,4.1,"Dec 26, 2019"
stokmarknes,no,68.56,14.91,30,77,90,1.79,"Dec 26, 2019"
bredasdorp,za,-34.53,20.04,56,82,35,2.6,"Dec 26, 2019"
amahai,id,-3.31,129.0,84,71,62,2.77,"Dec 26, 2019"
thompson,ca,55.74,-97.86,18,85,90,1.0,"Dec 26, 2019"
arraial do cabo,br,-22.97,-42.02,76,90,0,8.05,"Dec 26, 2019"
castro,cl,-42.48,-73.76,56,100,90,9.8,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
upernavik,gl,72.79,-56.15,3,72,2,3.87,"Dec 26, 2019"
thompson,ca,55.74,-97.86,18,85,90,1.0,"Dec 26, 2019"
port elizabeth,za,-33.92,25.57,62,57,11,11.22,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
lazaro cardenas,mx,28.39,-105.62,58,28,5,2.1,"Dec 26, 2019"
nova olinda do norte,br,-3.89,-59.1,76,95,93,0.09,"Dec 26, 2019"
formosa,br,-15.55,-47.33,66,91,100,0.8,"Dec 26, 2019"
mirnyy,ru,56.57,36.46,33,80,100,1.23,"Dec 26, 2019"
yulara,au,-25.24,130.99,102,8,57,5.1,"Dec 26, 2019"
waipawa,nz,-39.94,176.59,68,62,0,4.47,"Dec 26, 2019"
umm lajj,sa,25.02,37.27,57,63,0,3.77,"Dec 26, 2019"
cape town,za,-33.93,18.42,59,93,40,3.1,"Dec 26, 2019"
cape town,za,-33.93,18.42,59,93,40,3.1,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
vila franca do campo,pt,37.72,-25.43,65,82,75,10.8,"Dec 26, 2019"
carnarvon,au,-24.87,113.63,83,69,0,9.8,"Dec 26, 2019"
iqaluit,ca,63.75,-68.52,5,71,90,1.5,"Dec 26, 2019"
pisco,pe,-13.71,-76.2,70,83,67,5.1,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
jamestown,sh,-15.94,-5.72,72,80,100,7.25,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
sao filipe,cv,14.9,-24.5,74,65,0,3.84,"Dec 26, 2019"
atuona,pf,-9.8,-139.03,81,77,71,8.23,"Dec 26, 2019"
mosquera,co,4.71,-74.23,59,72,40,3.1,"Dec 26, 2019"
kampot,kh,10.62,104.18,84,70,40,4.6,"Dec 26, 2019"
acajutla,sv,13.59,-89.83,70,94,0,0.45,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
shenjiamen,cn,29.96,122.3,46,63,31,7.29,"Dec 26, 2019"
port alfred,za,-33.59,26.89,63,65,100,4.02,"Dec 26, 2019"
bambous virieux,mu,-20.34,57.76,79,88,75,8.2,"Dec 26, 2019"
polunochnoye,ru,60.87,60.43,1,96,100,2.78,"Dec 26, 2019"
sao filipe,cv,14.9,-24.5,74,65,0,3.84,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
puerto ayora,ec,-0.74,-90.35,74,89,100,2.68,"Dec 26, 2019"
bandundu,cd,-3.32,17.38,74,91,99,1.68,"Dec 26, 2019"
altar,mx,30.72,-111.84,55,65,98,0.45,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
carnarvon,au,-24.87,113.63,83,69,0,9.8,"Dec 26, 2019"
birjand,ir,32.86,59.22,37,29,0,0.73,"Dec 26, 2019"
ajdabiya,ly,30.75,20.22,58,79,0,2.45,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
tuktoyaktuk,ca,69.44,-133.03,-16,75,90,6.2,"Dec 26, 2019"
tasiilaq,gl,65.61,-37.64,21,44,16,1.0,"Dec 26, 2019"
basco,ph,20.45,121.97,73,82,100,16.79,"Dec 26, 2019"
buta,cd,2.79,24.73,67,69,64,1.29,"Dec 26, 2019"
avarua,ck,-21.21,-159.78,77,65,0,5.1,"Dec 26, 2019"
susehri,tr,40.16,38.09,29,98,100,1.06,"Dec 26, 2019"
cape town,za,-33.93,18.42,59,93,40,3.1,"Dec 26, 2019"
burns lake,ca,54.23,-125.76,13,95,49,1.31,"Dec 26, 2019"
santa catarina de tepehuanes,mx,25.34,-105.72,46,70,0,2.38,"Dec 26, 2019"
jamestown,sh,-15.94,-5.72,72,80,100,7.25,"Dec 26, 2019"
praia da vitoria,pt,38.73,-27.07,65,81,100,15.94,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
kichera,ru,55.93,110.1,-3,94,100,0.89,"Dec 26, 2019"
barrow,us,39.51,-90.4,52,93,40,3.6,"Dec 26, 2019"
kutum,sd,14.2,24.66,48,29,18,0.92,"Dec 26, 2019"
tornio,fi,61.12,27.27,30,86,90,2.6,"Dec 26, 2019"
cidreira,br,-30.17,-50.22,74,89,100,11.23,"Dec 26, 2019"
jurm,af,36.86,70.83,23,25,67,5.61,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
bambous virieux,mu,-20.34,57.76,79,88,75,8.2,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
kapaa,us,22.08,-159.32,81,88,90,6.2,"Dec 26, 2019"
moose factory,ca,51.26,-80.61,29,92,90,3.6,"Dec 26, 2019"
esperance,au,-33.86,121.89,75,53,78,5.7,"Dec 26, 2019"
bambous virieux,mu,-20.34,57.76,79,88,75,8.2,"Dec 26, 2019"
jamestown,sh,-15.94,-5.72,72,80,100,7.25,"Dec 26, 2019"
eirunepe,br,-6.66,-69.87,75,92,100,0.78,"Dec 26, 2019"
puerto ayora,ec,-0.74,-90.35,74,89,100,2.68,"Dec 26, 2019"
dikson,ru,73.51,80.55,-8,97,100,7.4,"Dec 26, 2019"
darnah,ly,32.77,22.64,62,63,0,9.22,"Dec 26, 2019"
vaini,to,-21.2,-175.2,86,70,40,5.1,"Dec 26, 2019"
saint-philippe,re,-21.36,55.77,81,83,21,2.6,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
illintsi,ua,49.11,29.2,37,92,100,6.78,"Dec 26, 2019"
hasaki,jp,35.73,140.83,57,62,20,6.2,"Dec 26, 2019"
tessalit,ml,20.2,1.01,60,20,56,4.79,"Dec 26, 2019"
avarua,ck,-21.21,-159.78,77,65,0,5.1,"Dec 26, 2019"
strausberg,de,52.58,13.88,40,93,75,2.6,"Dec 26, 2019"
olenino,ru,56.21,33.48,36,96,100,0.97,"Dec 26, 2019"
leningradskiy,ru,69.38,178.42,-8,93,100,6.78,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
yellowknife,ca,62.45,-114.38,12,92,20,5.7,"Dec 26, 2019"
hermanus,za,-34.42,19.24,54,89,42,8.86,"Dec 26, 2019"
puerto ayora,ec,-0.74,-90.35,74,89,100,2.68,"Dec 26, 2019"
cam ranh,vn,11.92,109.15,83,61,20,7.2,"Dec 26, 2019"
nome,us,30.04,-94.42,61,100,1,1.89,"Dec 26, 2019"
hilo,us,19.71,-155.08,81,74,90,3.1,"Dec 26, 2019"
port alfred,za,-33.59,26.89,63,65,100,4.02,"Dec 26, 2019"
maralal,ke,1.1,36.7,64,77,16,2.73,"Dec 26, 2019"
atar,mr,20.52,-13.05,62,20,0,2.47,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
rikitea,pf,-23.12,-134.97,76,84,100,3.25,"Dec 26, 2019"
birjand,ir,32.86,59.22,37,29,0,0.73,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
thompson,ca,55.74,-97.86,18,85,90,1.0,"Dec 26, 2019"
qaanaaq,gl,77.48,-69.36,-4,67,0,3.11,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
sur,om,22.57,59.53,65,62,38,0.43,"Dec 26, 2019"
cabo san lucas,mx,22.89,-109.91,68,72,20,5.1,"Dec 26, 2019"
arraial do cabo,br,-22.97,-42.02,76,90,0,8.05,"Dec 26, 2019"
kyrylivka,ua,47.65,37.3,41,85,99,1.51,"Dec 26, 2019"
qaanaaq,gl,77.48,-69.36,-4,67,0,3.11,"Dec 26, 2019"
saskylakh,ru,71.97,114.09,-33,100,0,0.99,"Dec 26, 2019"
butaritari,ki,3.07,172.79,85,77,85,4.95,"Dec 26, 2019"
saskylakh,ru,71.97,114.09,-33,100,0,0.99,"Dec 26, 2019"
broome,au,-17.97,122.23,93,67,0,4.1,"Dec 26, 2019"
severo-kurilsk,ru,50.68,156.12,26,95,100,3.67,"Dec 26, 2019"
daru,pg,-9.07,143.21,92,55,35,0.17,"Dec 26, 2019"
kodiak,us,39.95,-94.76,36,80,90,4.1,"Dec 26, 2019"
wasilla,us,61.58,-149.44,16,85,90,5.7,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
saint george,bm,32.38,-64.68,65,55,75,5.7,"Dec 26, 2019"
hithadhoo,mv,-0.6,73.08,83,78,49,4.37,"Dec 26, 2019"
isagarh,in,24.84,77.89,53,35,0,0.36,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
petropavlovka,ru,50.61,105.32,-3,84,60,1.17,"Dec 26, 2019"
abay,kz,49.63,72.87,0,84,46,4.0,"Dec 26, 2019"
vaini,to,-21.2,-175.2,86,70,40,5.1,"Dec 26, 2019"
hilo,us,19.71,-155.08,81,74,90,3.1,"Dec 26, 2019"
avarua,ck,-21.21,-159.78,77,65,0,5.1,"Dec 26, 2019"
thompson,ca,55.74,-97.86,18,85,90,1.0,"Dec 26, 2019"
san patricio,mx,19.22,-104.7,83,74,40,1.17,"Dec 26, 2019"
lawrenceburg,us,35.24,-87.33,59,82,90,1.98,"Dec 26, 2019"
lavrentiya,ru,65.58,-170.99,-12,85,0,3.94,"Dec 26, 2019"
pevek,ru,69.7,170.27,-14,98,100,3.2,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
bandarbeyla,so,9.49,50.81,77,66,8,8.74,"Dec 26, 2019"
san patricio,mx,19.22,-104.7,83,74,40,1.17,"Dec 26, 2019"
geraldton,ca,49.72,-86.95,29,92,90,5.1,"Dec 26, 2019"
bosobolo,cd,4.19,19.88,70,49,26,0.94,"Dec 26, 2019"
udachnyy,ru,66.42,112.4,-33,73,0,1.0,"Dec 26, 2019"
los llanos de aridane,es,28.66,-17.92,65,82,33,3.6,"Dec 26, 2019"
kangaatsiaq,gl,68.31,-53.46,12,66,0,3.14,"Dec 26, 2019"
hithadhoo,mv,-0.6,73.08,83,78,49,4.37,"Dec 26, 2019"
tasiilaq,gl,65.61,-37.64,21,44,16,1.0,"Dec 26, 2019"
sola,vu,-13.88,167.55,82,72,7,6.15,"Dec 26, 2019"
korla,cn,41.76,86.15,18,46,42,2.42,"Dec 26, 2019"
saint-philippe,re,-21.36,55.77,81,83,21,2.6,"Dec 26, 2019"
bredasdorp,za,-34.53,20.04,56,82,35,2.6,"Dec 26, 2019"
busselton,au,-33.64,115.35,83,29,73,3.98,"Dec 26, 2019"
batagay-alyta,ru,67.8,130.41,-33,99,0,2.05,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
jamestown,sh,-15.94,-5.72,72,80,100,7.25,"Dec 26, 2019"
albury,au,-36.08,146.92,101,18,0,3.6,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
eyl,so,7.98,49.82,76,58,0,6.81,"Dec 26, 2019"
lucea,jm,18.44,-78.17,77,78,20,3.1,"Dec 26, 2019"
pyshma,ru,56.95,63.25,7,96,100,2.61,"Dec 26, 2019"
kumbo,cm,6.21,10.69,62,37,0,1.82,"Dec 26, 2019"
port alfred,za,-33.59,26.89,63,65,100,4.02,"Dec 26, 2019"
ushuaia,ar,-54.81,-68.31,56,50,75,5.7,"Dec 26, 2019"
ponta do sol,cv,17.2,-25.09,70,74,0,5.15,"Dec 26, 2019"
cortez,us,37.35,-108.58,32,74,1,3.1,"Dec 26, 2019"
port alfred,za,-33.59,26.89,63,65,100,4.02,"Dec 26, 2019"
khatanga,ru,71.98,102.47,-25,94,88,1.79,"Dec 26, 2019"
corleone,it,37.81,13.3,53,81,28,2.1,"Dec 26, 2019"
port elizabeth,za,-33.92,25.57,62,57,11,11.22,"Dec 26, 2019"
hobart,au,-42.88,147.33,75,42,20,7.2,"Dec 26, 2019"
novo aripuana,br,-5.12,-60.38,75,96,100,0.59,"Dec 26, 2019"
punta arenas,cl,-53.16,-70.91,54,71,100,2.6,"Dec 26, 2019"
lufkin,us,31.34,-94.73,57,87,1,1.55,"Dec 26, 2019"
port elizabeth,za,-33.92,25.57,62,57,11,11.22,"Dec 26, 2019"
luena,ao,-11.78,19.91,63,98,100,1.75,"Dec 26, 2019"
saskylakh,ru,71.97,114.09,-33,100,0,0.99,"Dec 26, 2019"
san cristobal,ec,-1.02,-79.44,80,79,100,1.0,"Dec 26, 2019"
bluff,nz,-46.6,168.33,59,68,96,10.28,"Dec 26, 2019"
bazarnyye mataki,ru,54.9,49.93,13,91,44,2.42,"Dec 26, 2019"
new norfolk,au,-42.78,147.06,75,42,20,7.2,"Dec 26, 2019"
